,Report Number,Occur Date,Occur Time,Neighborhood
14252,192161683,2019-08-04,1700,Edgewood
14253,192161461,2019-08-04,1700,Southwest
14254,192162114,2019-08-04,2335,other
14256,192161839,2019-08-04,2030,North Buckhead
14258,192161032,2019-08-04,1210,Harland Terrace
14259,192160930,2019-08-03,2030,Lindbergh/Morosgo
14260,192161605,2019-08-04,1750,Perkerson
14261,192161834,2019-08-04,2030,Bankhead/Bolton
14262,192161600,2019-08-04,1820,Almond Park
14263,192161795,2019-08-04,2017,Vine City
14265,192160870,2019-08-01,1200,Collier Heights
14266,192161046,2019-08-04,1153,Greenbriar
14268,192161268,2019-08-03,2100,Grant Park
14269,192161920,2019-08-04,1630,Old Fourth Ward
14270,192161978,2019-08-04,2207,Buckhead Village
14272,192160717,2019-08-03,1200,Old Fourth Ward
14273,192160796,2019-08-03,2200,Downtown
14274,192160833,2019-07-30,1000,Adamsville
14276,192160039,2019-08-03,2230,Midtown
14277,192160138,2019-08-03,2320,East Atlanta
14278,192160293,2019-08-03,2300,Downtown
14284,192160618,2019-08-03,2330,Capitol View
14288,192160812,2019-08-03,2330,Brookwood
14289,192160818,2019-08-03,1247,Sweet Auburn
14290,192160855,2019-08-03,1730,Inman Park
14291,192160879,2019-08-03,1800,West End
14292,192160947,2019-08-04,1207,Summerhill
14293,192160977,2019-08-03,1600,Ormewood Park
14294,192160996,2019-08-04,1226,other
14295,192161107,2019-08-04,1210,Midtown
14296,192161191,2019-08-04,1100,Castleberry Hill
14297,192161232,2019-08-04,1245,Inman Park
14298,192161519,2019-08-04,1530,Downtown
14299,192161546,2019-08-04,1720,Virginia Highland
14300,192161555,2019-08-04,1745,Hills Park
14301,192161558,2019-08-04,1630,Poncey-Highland
14302,192161636,2019-08-03,1930,Midtown
14303,192161732,2019-08-04,1430,Downtown
14304,192161789,2019-08-04,1830,Inman Park
14305,192161878,2019-08-04,1500,Inman Park
14306,192161928,2019-08-04,2100,Peachtree Hills
14307,192161981,2019-08-04,1900,Old Fourth Ward
14308,192161986,2019-08-04,1800,Buckhead Village
14309,192162073,2019-08-04,2100,Lindridge/Martin Manor
14311,192161642,2019-08-04,1600,West End
14312,192161997,2019-08-04,2210,Downtown
14313,192160989,2019-07-04,2000,Garden Hills
14315,192170197,2019-08-04,2200,West End
14316,192171348,2019-08-04,1700,Center Hill
14317,192172081,2019-08-05,2041,Westview
14318,192170393,2019-08-04,2220,Edgewood
14319,192170079,2019-08-04,2350,Ardmore
14322,192171001,2019-08-05,1145,North Buckhead
14325,192171455,2019-08-05,1530,Poncey-Highland
14326,192171522,2019-08-05,1540,Perkerson
14328,192171690,2019-08-05,1716,Riverside
14329,192171967,2019-08-05,1830,Midtown
14330,192172014,2019-08-05,1956,Poncey-Highland
14331,192172018,2019-08-05,1330,Peachtree Hills
14332,192172079,2019-08-05,2039,Poncey-Highland
14333,192172099,2019-08-05,1900,Virginia Highland
14334,192172158,2019-08-05,1600,Princeton Lakes
14335,192172203,2019-08-05,2000,Midtown
14336,192172212,2019-08-05,2100,Home Park
14337,192172242,2019-08-05,1830,Inman Park
14338,192172255,2019-08-05,2220,Buckhead Forest
